day,MJD,date,r,theta,phi,x,y,z
80.4,58564.4,2019-03-22 09:36:00,0.9962895484691999,90.48103124,181.10982872,-0.9960316664532518,-0.019296523874876445,-0.00836474803111911
80.5,58564.5,2019-03-22 12:00:00,0.996317921425,90.5204907,181.20088205,-0.9960206181315536,-0.020879877623638382,-0.009051137765359648
80.6,58564.6,2019-03-22 14:24:00,0.9963462943808,90.55995016,181.29193537999998,-0.9960095698098556,-0.022463231372400323,-0.009737527499600183
80.7,58564.7,2019-03-22 16:48:00,0.9963746673366,90.59940962,181.38298870999998,-0.9959985214881575,-0.024046585121162263,-0.010423917233840719
80.8,58564.8,2019-03-22 19:12:00,0.9964030402924,90.63886907999999,181.47404204,-0.9959874731664594,-0.025629938869924204,-0.011110306968081256
80.9,58564.9,2019-03-22 21:36:00,0.9964314132482,90.67832854,181.56509537,-0.9959764248447612,-0.027213292618686144,-0.011796696702321793
81.0,58565.0,2019-03-23 00:00:00,0.996459786204,90.717788,181.6561487,-0.9959653765230632,-0.02879664636744808,-0.012483086436562329
81.1,58565.1,2019-03-23 02:24:00,0.9964883913683,90.75720778,181.74717022,-0.9959246994273272,-0.030379222609951,-0.01316912208218765
81.2,58565.2,2019-03-23 04:48:00,0.9965169965326,90.79662756,181.83819173999998,-0.9958840223315911,-0.03196179885245392,-0.01385515772781297
81.3,58565.3,2019-03-23 07:12:00,0.9965456016969,90.83604734,181.92921325999998,-0.9958433452358552,-0.03354437509495684,-0.01454119337343829
81.4,58565.4,2019-03-23 09:36:00,0.9965742068612,90.87546712,182.02023477999998,-0.9958026681401192,-0.03512695133745976,-0.01522722901906361
81.5,58565.5,2019-03-23 12:00:00,0.9966028120254999,90.9148869,182.11125629999998,-0.9957619910443831,-0.03670952757996268,-0.015913264664688932
81.6,58565.6,2019-03-23 14:24:00,0.9966314171898,90.95430668,182.20227782,-0.9957213139486472,-0.038292103822465604,-0.01659930031031425
81.7,58565.7,2019-03-23 16:48:00,0.9966600223541,90.99372646,182.29329934,-0.9956806368529112,-0.03987468006496852,-0.01728533595593957
81.8,58565.8,2019-03-23 19:12:00,0.9966886275184,91.03314624,182.38432086,-0.9956399597571752,-0.04145725630747144,-0.01797137160156489
81.9,58565.9,2019-03-23 21:36:00,0.9967172326827,91.07256602,182.47534238,-0.9955992826614392,-0.04303983254997436,-0.018657407247190214
82.0,58566.0,2019-03-24 00:00:00,0.996745837847,91.1119858,182.5663639,-0.9955586055657032,-0.04462240879247728,-0.019343442892815532
82.1,58566.1,2019-03-24 02:24:00,0.996774643599,91.15135661,182.65736348,-0.9954883081786392,-0.046203765256768725,-0.020028933923221075
82.2,58566.2,2019-03-24 04:48:00,0.996803449351,91.19072742,182.74836306,-0.9954180107915751,-0.04778512172106018,-0.02071442495362662
82.3,58566.3,2019-03-24 07:12:00,0.996832255103,91.23009823,182.83936264,-0.995347713404511,-0.04936647818535163,-0.021399915984032163
82.4,58566.4,2019-03-24 09:36:00,0.996861060855,91.26946904,182.93036222,-0.995277416017447,-0.05094783464964307,-0.022085407014437706
82.5,58566.5,2019-03-24 12:00:00,0.9968898666070001,91.30883985,183.0213618,-0.995207118630383,-0.05252919111393452,-0.022770898044843252
82.6,58566.6,2019-03-24 14:24:00,0.996918672359,91.34821065999999,183.11236137999998,-0.9951368212433189,-0.05411054757822597,-0.023456389075248794
82.7,58566.7,2019-03-24 16:48:00,0.996947478111,91.38758147,183.20336096,-0.9950665238562548,-0.05569190404251742,-0.024141880105654337
82.8,58566.8,2019-03-24 19:12:00,0.9969762838630001,91.42695228,183.29436053999999,-0.9949962264691908,-0.057273260506808865,-0.02482737113605988
82.9,58566.9,2019-03-24 21:36:00,0.997005089615,91.46632309,183.38536012,-0.9949259290821268,-0.05885461697110031,-0.025512862166465426
83.0,58567.0,2019-03-25 00:00:00,0.997033895367,91.5056939,183.4763597,-0.9948556316950627,-0.06043597343539176,-0.026198353196870968
83.1,58567.1,2019-03-25 02:24:00,0.9970628662785,91.54500634,183.56734673,-0.994755726299748,-0.06201565917015818,-0.026883106273489804
83.2,58567.2,2019-03-25 04:48:00,0.99709183719,91.58431878,183.65833376,-0.9946558209044332,-0.06359534490492459,-0.027567859350108637
83.3,58567.3,2019-03-25 07:12:00,0.9971208081015001,91.62363122,183.74932078999998,-0.9945559155091184,-0.06517503063969102,-0.02825261242672747
83.4,58567.4,2019-03-25 09:36:00,0.9971497790130001,91.66294366,183.84030782,-0.9944560101138036,-0.06675471637445743,-0.028937365503346305
83.5,58567.5,2019-03-25 12:00:00,0.9971787499245,91.7022561,183.93129485,-0.9943561047184888,-0.06833440210922385,-0.02962211857996514
83.6,58567.6,2019-03-25 14:24:00,0.997207720836,91.74156854,184.02228188,-0.994256199323174,-0.06991408784399027,-0.030306871656583974
83.7,58567.7,2019-03-25 16:48:00,0.9972366917475,91.78088098,184.11326891000002,-0.9941562939278592,-0.07149377357875669,-0.030991624733202806
83.8,58567.8,2019-03-25 19:12:00,0.997265662659,91.82019342,184.20425594,-0.9940563885325444,-0.0730734593135231,-0.031676377809821646
83.9,58567.9,2019-03-25 21:36:00,0.9972946335705,91.85950586,184.29524297,-0.9939564831372296,-0.07465314504828953,-0.03236113088644048
84.0,58568.0,2019-03-26 00:00:00,0.997323604482,91.8988183,184.38623,-0.9938565777419148,-0.07623283078305594,-0.03304588396305931
84.1,58568.1,2019-03-26 02:24:00,0.9973527037986,91.93806285,184.47721343,-0.9937270835982697,-0.07781038698380757,-0.033729702806614484
84.2,58568.2,2019-03-26 04:48:00,0.9973818031152,91.9773074,184.56819686,-0.9935975894546245,-0.0793879431845592,-0.03441352165016966
84.3,58568.3,2019-03-26 07:12:00,0.9974109024318,92.01655195000001,184.65918029000002,-0.9934680953109793,-0.08096549938531084,-0.03509734049372483
84.4,58568.4,2019-03-26 09:36:00,0.9974400017484,92.0557965,184.75016372000002,-0.9933386011673342,-0.08254305558606247,-0.03578115933728
84.5,58568.5,2019-03-26 12:00:00,0.997469101065,92.09504104999999,184.84114715,-0.993209107023689,-0.0841206117868141,-0.036464978180835175
84.6,58568.6,2019-03-26 14:24:00,0.9974982003816,92.1342856,184.93213058,-0.9930796128800439,-0.08569816798756572,-0.03714879702439034
84.7,58568.7,2019-03-26 16:48:00,0.9975272996982,92.17353015,185.02311401,-0.9929501187363987,-0.08727572418831735,-0.037832615867945514
84.8,58568.8,2019-03-26 19:12:00,0.9975563990148,92.2127747,185.11409744000002,-0.9928206245927536,-0.08885328038906898,-0.03851643471150069
84.9,58568.9,2019-03-26 21:36:00,0.9975854983314,92.25201924999999,185.20508087000002,-0.9926911304491084,-0.09043083658982061,-0.03920025355505586
85.0,58569.0,2019-03-27 00:00:00,0.997614597648,92.2912638,185.2960643,-0.9925616363054632,-0.09200839279057224,-0.03988407239861103
85.1,58569.1,2019-03-27 02:24:00,0.9976437890127,92.33043085999999,185.38705272,-0.992402581875218,-0.09358335450557802,-0.04056675859921055
85.2,58569.2,2019-03-27 04:48:00,0.9976729803773999,92.36959792,185.47804114000002,-0.9922435274449729,-0.0951583162205838,-0.041249444799810076
85.3,58569.3,2019-03-27 07:12:00,0.9977021717421,92.40876498,185.56902956000002,-0.9920844730147278,-0.09673327793558958,-0.04193213100040959
85.4,58569.4,2019-03-27 09:36:00,0.9977313631068,92.44793204,185.66001798000002,-0.9919254185844826,-0.09830823965059536,-0.04261481720100912
85.5,58569.5,2019-03-27 12:00:00,0.9977605544715,92.4870991,185.7510064,-0.9917663641542374,-0.09988320136560114,-0.043297503401608636
85.6,58569.6,2019-03-27 14:24:00,0.9977897458362,92.52626616,185.84199482,-0.9916073097239922,-0.10145816308060691,-0.043980189602208154
85.7,58569.7,2019-03-27 16:48:00,0.9978189372009,92.56543322,185.93298324,-0.9914482552937471,-0.10303312479561269,-0.04466287580280768
85.8,58569.8,2019-03-27 19:12:00,0.9978481285656,92.60460028,186.02397166,-0.9912892008635019,-0.10460808651061848,-0.0453455620034072
85.9,58569.9,2019-03-27 21:36:00,0.9978773199302999,92.64376734000001,186.11496008,-0.9911301464332567,-0.10618304822562426,-0.04602824820400672
86.0,58570.0,2019-03-28 00:00:00,0.997906511295,92.68293440000001,186.2059485,-0.9909710920030116,-0.10775800994063003,-0.04671093440460624
86.1,58570.1,2019-03-28 02:24:00,0.9979357597455,92.72201427,186.29695014,-0.9907825164916886,-0.10932990649379791,-0.047392287221667544
86.2,58570.2,2019-03-28 04:48:00,0.997965008196,92.76109414,186.38795178,-0.9905939409803657,-0.11090180304696577,-0.04807364003872885
86.3,58570.3,2019-03-28 07:12:00,0.9979942566465,92.80017401,186.47895342,-0.9904053654690427,-0.11247369960013365,-0.048754992855790144
86.4,58570.4,2019-03-28 09:36:00,0.998023505097,92.83925388,186.56995506,-0.9902167899577197,-0.11404559615330152,-0.04943634567285145
86.5,58570.5,2019-03-28 12:00:00,0.9980527535475,92.87833375,186.66095669999999,-0.9900282144463968,-0.1156174927064694,-0.05011769848991275
86.6,58570.6,2019-03-28 14:24:00,0.998082001998,92.91741361999999,186.75195834,-0.9898396389350738,-0.11718938925963726,-0.050799051306974055
86.7,58570.7,2019-03-28 16:48:00,0.9981112504485,92.95649348999999,186.84295998,-0.9896510634237508,-0.11876128581280514,-0.05148040412403536
86.8,58570.8,2019-03-28 19:12:00,0.998140498899,92.99557336,186.93396162,-0.9894624879124277,-0.12033318236597301,-0.05216175694109666
